code	scientific_name	english_name	euring_scientific_name	euring_english_name	aphia_id	aphia_scientific_name	remarks
1840	Anas crecca	Eurasian Teal	Anas crecca		158943	Anas crecca	
!1845	Anas crecca / Spatula querquedula	Eurasian Teal / Garganey			136973	Anatidae	previously 1845
1860	Anas platyrhynchos	Mallard	Anas platyrhynchos		148791	Anas platyrhynchos	
1863	Anas platyrhynchos domestica	Mallard (domestica)	Anas platyrhynchos domestica		148791	Anas platyrhynchos	previously 1865 (v5)
1890	Anas acuta	Northern Pintail	Anas acuta		158939	Anas acuta	
1910	Spatula querquedula	Garganey	Anas querquedula		1459928	Spatula querquedula	
1940	Spatula clypeata	Northern Shoveler	Anas clypeata		1461476	Spatula clypeata	
!1959		unidentified dabbling duck			136973	Anatidae	
1980	Aythya ferina	Common Pochard	Aythya ferina		232037	Aythya ferina	
2030	Aythya fuligula	Tufted Duck	Aythya fuligula		159164	Aythya fuligula	
2040	Aythya marila	Greater Scaup	Aythya marila		159172	Aythya marila	
2059	Aythya sp.	unidentified (Aythya) diving duck	Aythya sp.		159160	Aythya	previously 2189 (v5)
2060	Somateria mollissima	Common Eider	Somateria mollissima		137074	Somateria mollissima	
2070	Somateria spectabilis	King Eider	Somateria spectabilis		137075	Somateria spectabilis	
2110	Histrionicus histrionicus	Harlequin Duck	Histrionicus histrionicus		159092	Histrionicus histrionicus	
2120	Clangula hyemalis	Long-tailed Duck	Clangula hyemalis		137071	Clangula hyemalis	
2130	Melanitta nigra	Common Scoter	Melanitta nigra		137073	Melanitta nigra	
!2139	Melanitta sp.	unidentified scoter			137002	Melanitta	
2140	Melanitta perspicillata	Surf Scoter	Melanitta perspicillata		159095	Melanitta perspicillata	
2150	Melanitta fusca	Velvet Scoter	Melanitta fusca		137072	Melanitta fusca	
2160	Bucephala albeola	Bufflehead	Bucephala albeola		159179	Bucephala albeola	
2180	Bucephala clangula	Common Goldeneye	Bucephala clangula		159197	Bucephala clangula	
2200	Mergellus albellus	Smew	Mergus albellus		232039	Mergellus albellus	
2210	Mergus serrator	Red-breasted Merganser	Mergus serrator		159098	Mergus serrator	
2230	Mergus merganser	Common Merganser	Mergus merganser		159097	Mergus merganser	
2239	Mergus sp.	unidentified merganser	Mergus sp.		159096	Mergus	
!2269		unidentified duck			136973	Anatidae	
2310	Pernis apivorus	European Honey Buzzard	Pernis apivorus		558573	Pernis apivorus	
2380	Milvus migrans	Black Kite	Milvus migrans		212678	Milvus migrans	
2430	Haliaeetus albicilla	White-tailed Eagle	Haliaeetus albicilla		232053	Haliaeetus albicilla	
2600	Circus aeruginosus	Western Marsh Harrier	Circus aeruginosus		558541	Circus aeruginosus	
2610	Circus cyaneus	Hen Harrier	Circus cyaneus		159372	Circus cyaneus	
2670	Accipiter gentilis	Northern Goshawk	Accipiter gentilis		159104	Accipiter gentilis	
2690	Accipiter nisus	Eurasian Sparrowhawk	Accipiter nisus		558525	Accipiter nisus	
2870	Buteo buteo	Common Buzzard	Buteo buteo		558534	Buteo buteo	
2900	Buteo lagopus	Rough-legged Buzzard	Buteo lagopus		159110	Buteo lagopus	
3009	Falconiformes sp.	unidentified raptor	Falconiformes sp.		225849	Falconiformes	previously 3219 (v5)
3010	Pandion haliaetus	Western Osprey	Pandion haliaetus		159377	Pandion haliaetus	
3040	Falco tinnunculus	Common Kestrel	Falco tinnunculus		345751	Falco tinnunculus	
3070	Falco vespertinus	Red-footed Falcon	Falco vespertinus		558554	Falco vespertinus	
3090	Falco columbarius	Merlin	Falco columbarius		159152	Falco columbarius	
3100	Falco subbuteo	Eurasian Hobby	Falco subbuteo		558553	Falco subbuteo	
3110	Falco eleonorae	Eleonora's Falcon	Falco eleonorae		212680	Falco eleonorae	
3180	Falco rusticolus	Gyrfalcon	Falco rusticolus		159154	Falco rusticolus	
3200	Falco peregrinus	Pergrine Falcon	Falco peregrinus		159153	Falco peregrinus	
3219	Falco sp.	unidentified falcon	Falco sp.		159071	Falco	previously 3049 (v5)
4070	Rallus aquaticus	Water Rail	Rallus aquaticus		416695	Rallus aquaticus	
4080	Porzana porzana	Spotted Crake	Porzana porzana		416693	Porzana porzana	
4240	Gallinula chloropus	Common Moorhen	Gallinula chloropus		159009	Gallinula chloropus	
4290	Fulica atra	Eurasian Coot	Fulica atra		232054	Fulica atra	
4330	Grus grus	Common Crane	Grus grus		1037310	Grus grus	
4500	Haematopus ostralegus	Eurasian Oystercatcher	Haematopus ostralegus		147436	Haematopus ostralegus	
4510	Haematopus palliatus	American Oystercatcher	Haematopus palliatus		159128	Haematopus palliatus	
4560	Recurvirostra avosetta	Pied Avocet	Recurvirostra avosetta		212721	Recurvirostra avosetta	
4690	Charadrius dubius	Little Ringed Plover	Charadrius dubius		212617	Charadrius dubius	
4700	Charadrius hiaticula	Common Ringed Plover	Charadrius hiaticula		212619	Charadrius hiaticula	
4710	Charadrius semipalmatus	Semipalmated plover	Charadrius semipalmatus		159126	Charadrius semipalmatus	
4770	Charadrius alexandrinus	Kentish Plover	Charadrius alexandrinus		212611	Charadrius alexandrinus	
4820	Charadrius morinellus	Eurasian Dotterel	Charadrius morinellus		232043	Charadrius morinellus	
4850	Pluvialis apricaria	European Golden Plover	Pluvialis apricaria		159135	Pluvialis apricaria	
4860	Pluvialis squatarola	Grey Plover	Pluvialis squatarola		159137	Pluvialis squatarola	
4930	Vanellus vanellus	Northern Lapwing	Vanellus vanellus		159142	Vanellus vanellus	
4960	Calidris canutus	Red Knot	Calidris canutus		147433	Calidris canutus	
4970	Calidris alba	Sanderling	Calidris alba		159084	Calidris alba	
5010	Calidris minuta	Little Stint	Calidris minuta		212600	Calidris minuta	
5090	Calidris ferruginea	Curlew Sandpiper	Calidris ferruginea		159049	Calidris ferruginea	
5100	Calidris maritima	Purple Sandpiper	Calidris maritima		159052	Calidris maritima	
5120	Calidris alpina	Dunlin	Calidris alpina		159047	Calidris alpina	
5129	Calidris sp.	unidentified (Calidris) sandpiper	Calidris sp.		147432	Calidris	previously 5149 (v5)
5170	Calidris pugnax	Ruff	Philomachus pugnax		882950	Calidris pugnax	
5180	Lymnocryptes minimus	Jack Snipe	Lymnocryptes minimus		558755	Lymnocryptes minimus	
5190	Gallinago gallinago	Common Snipe	Gallinago gallinago		158949	Gallinago gallinago	
5290	Scolopax rusticola	Eurasian Woodcock	Scolopax rusticola		159028	Scolopax rusticola	
5320	Limosa limosa	Black-tailed Godwit	Limosa limosa		159035	Limosa limosa	
5340	Limosa lapponica	Bar-tailed Godwit	Limosa lapponica		159034	Limosa lapponica	
5380	Numenius phaeopus	Eurasian Whimbrel	Numenius phaeopus		159040	Numenius phaeopus	
5400	Numenius tenuirostris	Slender-billed Curlew	Numenius tenuirostris		366864	Numenius tenuirostris	
5410	Numenius arquata	Eurasian Curlew	Numenius arquata		159037	Numenius arquata	
5450	Tringa erythropus	Spotted Redshank	Tringa erythropus		159029	Tringa erythropus	
5460	Tringa totanus	Common Redshank	Tringa totanus		158970	Tringa totanus	
5480	Tringa nebularia	Common Greenshank	Tringa nebularia		158968	Tringa nebularia	
5530	Tringa ochropus	Green Sandpiper	Tringa ochropus		212622	Tringa ochropus	
5540	Tringa glareola	Wood Sandpiper	Tringa glareola		225916	Tringa glareola	
5560	Actitis hypoleucos	Common Sandpiper	Actitis hypoleucos		212603	Actitis hypoleucos	
5610	Arenaria interpres	Ruddy Turnstone	Arenaria interpres		147431	Arenaria interpres	
5640	Phalaropus lobatus	Red-necked Phalarope	Phalaropus lobatus		137169	Phalaropus lobatus	
!5645	Phalaropus sp.	unidentified phalarope			137049	Phalaropus	
5650	Phalaropus fulicaria	Red Phalarope	Phalaropus fulicaria		159042	Phalaropus fulicaria	
5659		unidentified wader	Limicolae				
5660	Stercorarius pomarinus	Pomarine Skua	Stercorarius pomarinus		137173	Stercorarius pomarinus	
5670	Stercorarius parasiticus	Arctic Skua	Stercorarius parasiticus		137172	Stercorarius parasiticus	
5680	Stercorarius longicaudus	Long-tailed Skua	Stercorarius longicaudus		137171	Stercorarius longicaudus	
5690	Stercorarius skua	Great Skua	Stercorarius skua		137174	Stercorarius skua	
5709	Stercorarius sp.	unidentified skua	Stercorarius sp.		137051	Stercorarius	previously 5699 (v5)
5750	Ichthyaetus melanocephalus	Mediterranean Gull	Larus melanocephalus		137147	Larus melanocephalus	
5780	Hydrocoloeus minutus	Little Gull	Larus minutus		567449	Hydrocoloeus minutus	
5790	Xema sabini	Sabine's Gull	Larus sabini		137167	Xema sabini	
5820	Chroicocephalus ridibundus	Black-headed Gull	Larus ridibundus		465358	Chroicocephalus ridibundus	
5880	Ichthyaetus audouinii	Audouin's Gull	Larus audouinii		137139	Larus audouinii	
5890	Larus delawarensis	Ring-billed Gull	Larus delawarensis		148797	Larus delawarensis	
5900	Larus canus	Common Gull	Larus canus		137141	Larus canus	
5902	Larus canus heinei	Common Gull (henei)	Larus canus heinei		416722	Larus canus heinei	
!5909		unidentified small gull			136988	Laridae	
5910	Larus fuscus	Lesser Black-backed Gull	Larus fuscus		137142	Larus fuscus	
5911	Larus fuscus fuscus	Lesser Black-backed Gull (fuscus)	Larus fuscus fuscus		148795	Larus fuscus fuscus	
5912	Larus fuscus graellsii	Lesser Black-backed Gull (graelsii)	Larus fuscus graellsii		148796	Larus fuscus graellsii	
!5919	Larus fuscus / argentatus	Lesser Black-backed / Herring Gull			137043	Larus	
5920	Larus argentatus	European Herring Gull	Larus argentatus		137138	Larus argentatus	
5921	Larus argentatus argentatus	European Herring Gull (argentatus)	Larus argentatus argentatus		232047	Larus argentatus argentatus	
5922	Larus heuglini	Siberian Gull	Larus argentatus heuglini		423477	Larus heuglini	
5926	Larus michahellis	Yellow-legged Gull	Larus argentatus michahellis		232052	Larus michahellis	previously 5928 (v5)
5927	Larus cachinnans	Caspian Gull	Larus argentatus cachinnans		137140	Larus cachinnans	
5980	Larus glaucoides	Iceland Gull	Larus glaucoides		137144	Larus glaucoides	
5982	Larus glaucoides kumlieni	Iceland Gull (kumlieni)	Larus glaucoides kumlieni		232051	Larus glaucoides kumlieni	
!5985	Larus hyperboreus / glaucoides	Glaucous / Iceland Gull			137043	Larus	
5990	Larus hyperboreus	Glaucous Gull	Larus hyperboreus		137145	Larus hyperboreus	
!5991	Larus hyperboreus x argentatus	Glaucous x Herring Gull (hybrid)			137043	Larus	
6000	Larus marinus	Great Black-backed Gull	Larus marinus		137146	Larus marinus	
6009	Larus sp.	unidentified Larus gull	Larus sp.		137043	Larus	previously 5929, 6005, 6008 & 6009 (v5)
6010	Rhodostethia rosea	Ross's Gull	Rhodostethia rosea		137155	Rhodostethia rosea	
6020	Rissa tridactyla	Black-legged Kittiwake	Rissa tridactyla		137156	Rissa tridactyla	
6040	Pagophila eburnea	Ivory Gull	Pagophila eburnea		137154	Pagophila eburnea	
!6049		unidentified gull			136988	Laridae	
6050	Gelochelidon nilotica	Gull-billed Tern	Gelochelidon nilotica		148798	Gelochelidon nilotica	
6060	Hydroprogne caspia	Caspian Tern	Sterna caspia		567825	Hydroprogne caspia	
6070	Thalasseus maximus	Royal Tern	Sterna maxima		413040	Thalasseus maximus	
6090	Thalasseus bengalensis	Lesser Crested Tern	Sterna bengalensis		413039	Thalasseus bengalensis	
6110	Thalasseus sandvicensis	Sandwich Tern	Sterna sandvicensis		413044	Thalasseus sandvicensis	
6111	Thalasseus acuflavidus	Cabot's Tern	Sterna acuflavida				
6140	Sterna dougallii	Roseate Tern	Sterna dougallii		137160	Sterna dougallii	
6150	Sterna hirundo	Common Tern	Sterna hirundo		137162	Sterna hirundo	
6160	Sterna paradisaea	Arctic Tern	Sterna paradisaea		137165	Sterna paradisaea	
!6169	Sterna hirundo / paradisaea	Common / Arctic Tern			137047	Sterna	
6230	Onychoprion fuscatus	Sooty Tern	Sterna fuscata		567827	Onychoprion fuscatus	
6240	Sternula albifrons	Little Tern	Sterna albifrons		567480	Sternula albifrons	
6250	Sternula saundersi	Saunders's Tern	Sterna saundersi		567839	Sternula saundersi	
6259	Sterna sp.	unidentified Sterna tern	Sterna sp.		137047	Sterna	
6260	Chlidonias hybrida	Whiskered Tern	Chlidonias hybridus		137135	Chlidonias hybrida	
6270	Chlidonias niger	Black Tern	Chlidonias niger		137137	Chlidonias niger	
6280	Chlidonias leucopterus	White-winged Tern	Chlidonias leucopterus		137136	Chlidonias leucopterus	
!6285		unidentified tern			136988	Laridae	previously 6289 (v5)
6300	Anous stolidus	Brown Noddy	Anous stolidus		212629	Anous stolidus	
6340	Uria aalge	Common Guillemot	Uria aalge		137133	Uria aalge	
!6345	Uria aalge / Alca torda	Common Guillemot / Razorbill			136987	Alcidae	
6350	Uria lomvia	Thick-billed Guillemot	Uria lomvia		137134	Uria lomvia	
6360	Alca torda	Razorbill	Alca torda		137128	Alca torda	
6380	Cepphus grylle	Black Guillemot	Cepphus grylle		137130	Cepphus grylle	
6470	Alle alle	Little Auk	Alle alle		137129	Alle alle	
6540	Fratercula arctica	Atlantic Puffin	Fratercula arctica		137131	Fratercula arctica	
!6545	Alle alle / Fratercula arctica	unidentified small auk			136987	Alcidae	
!6549	Alcidae	unidentified auk			136987	Alcidae	
6650	Columba livia	Rock Dove	Columba livia		1464527	Columba livia	
6657	Columba livia domestica	Feral Dove	Columba livia domestica		1464527	Columba livia	previously 6655 (v5)
6680	Columba oenas	Stock Dove	Columba oenas		558545	Columba oenas	
6700	Columba palumbus	Common Wood Pigeon	Columba palumbus		558546	Columba palumbus	
6829	Columba sp.	unidentified (Columba) dove	Columba sp.		558544	Columba	
6840	Streptopelia decaocto	Eurasian Collared Dove	Streptopelia decaocto		558586	Streptopelia decaocto	
6870	Streptopelia turtur	European Turtle Dove	Streptopelia turtur				
!6999	Columba / Streptopelia sp.	unidentified dove / pigeon			196065	Columbidae	
6919	Streptopelia sp.		Streptopelia sp.		205651	Streptopelia	
7240	Cuculus canorus	Common Cuckoo	Cuculus canorus		212682	Cuculus canorus	
7610	Strix aluco	Tawny Owl	Strix aluco		558588	Strix aluco	
7670	Asio otus	Long-eared Owl	Asio otus				
7680	Asio flammeus	Short-eared Owl	Asio flammeus		212685	Asio flammeus	
7780	Caprimulgus europaeus	European Nightjar	Caprimulgus europaeus				
7940	Apus unicolor	Plain swift	Apus unicolor				
7950	Apus apus	Common Swift	Apus apus		212734	Apus apus	
7980	Tachymarptis melba	Alpine Swift	Apus melba				
8060	Hylocharis leucotis	White-eared Hummingbird	Hylocharis leucotis				
8460	Upupa epops	Eurasian Hoopoe	Upupa epops		1451644	Upupa epops	
8480	Jynx torquilla	Eurasian Wryneck	Jynx torquilla				
8760	Dendrocopos major	Great Spotted Woodpecker	Dendrocopos major		1459903	Dendrocopos major	
9720	Galerida cristata	Crested Lark	Galerida cristata		426235	Galerida cristata	
9740	Lullula arborea	Woodlark	Lullula arborea				
9760	Alauda arvensis	Eurasian skylark	Alauda arvensis		558531	Alauda arvensis	
9780	Eremophila alpestris	Horned Lark	Eremophila alpestris		232056	Eremophila alpestris	
!9789	Alaudidae	unidentified lark			196040	Alaudidae	
9810	Riparia riparia	Sand Martin	Riparia riparia		225984	Riparia riparia	
9910	Ptyonoprogne rupestris	Eurasian Crag Martin	Ptyonoprogne rupestris				
9920	Hirundo rustica	Barn Swallow	Hirundo rustica		212750	Hirundo rustica	
!9995	Hirundinidae	unidentified swallow			196063	Hirundinidae	
10010	Delichon urbicum	Common House Martin	Delichon urbica		212752	Delichon urbicum	
10090	Anthus trivialis	Tree Pipit	Anthus trivialis		558533	Anthus trivialis	
10100	Anthus gustavi	Pechora Pipit	Anthus gustavi				
10110	Anthus pratensis	Meadow Pipit	Anthus pratensis		426233	Anthus pratensis	
10140	Anthus petrosus / spinoletta	Eurasian Rock Pipit / Water Pipit	Anthus spinoletta		206833	Anthus	
10142	Anthus petrosus petrosus	Eurasian Rock Pipit (petrosus)	Anthus spinoletta petrosus		232064	Anthus petrosus petrosus	
10159	Anthus sp.	unidentified pipit	Anthus sp.		206833	Anthus	previously 10119 (v5)
10170	Motacilla flava	Western Yellow Wagtail	Motacilla flava		212754	Motacilla flava	
10171	Motacilla flava flava	Western Yellow Wagtail (flava)	Motacilla flava flava		212754	Motacilla flava	
10180	Motacilla citreola	Citrine Wagtail	Motacilla citreola				
10190	Motacilla cinerea	Grey Wagtail	Motacilla cinerea		558560	Motacilla cinerea	
10200	Motacilla alba	White Wagtail	Motacilla alba		232066	Motacilla alba	
10201	Motacilla alba alba	White Wagtail (alba)	Motacilla alba alba		232066	Motacilla alba	
10202	Motacilla alba yarrellii	White Wagtail (yarrellii)	Motacilla alba yarrellii		558561	Motacilla alba yarrellii	
10239	Motacilla sp.	unidentified wagtail	Motacilla sp.		206855	Motacilla	previously 10209 (v5)
10480	Bombycilla garrulus	Bohemian Waxwing	Bombycilla garrulus				
10490	Hypocolius ampelinus	Grey Hypocolius	Hypocolius ampelinus				
10660	Troglodytes troglodytes	Winter Wren	Troglodytes troglodytes		558598	Troglodytes troglodytes	
10840	Prunella modularis	Dunnock	Prunella modularis				
10990	Erithacus rubecula	European Robin	Erithacus rubecula		558552	Erithacus rubecula	
11040	Luscinia megarhynchos	Common Nightingale	Luscinia megarhynchos				
11060	Luscinia svecica	Bluethroat	Luscinia svecica		1037315	Luscinia svecica	
11061	Luscinia svecica svecica	Bluethroat (svecica)	Luscinia svecica svecica				
11210	Phoenicurus ochruros	Black Redstart	Phoenicurus ochruros		558575	Phoenicurus ochruros	
11220	Phoenicurus phoenicurus	Common Redstart	Phoenicurus phoenicurus		558576	Phoenicurus phoenicurus	
11370	Saxicola rubetra	Whinchat	Saxicola rubetra		558585	Saxicola rubetra	
11390	Saxicola rubicola	European Stonechat	Saxicola torquata				
11460	Oenanthe oenanthe	Northern Wheatear	Oenanthe oenanthe		426237	Oenanthe oenanthe	
11770	Catharus ustulatus	Swainson's Thrush	Catharus ustulatus				
11860	Turdus torquatus	Ring Ouzel	Turdus torquatus		558605	Turdus torquatus	
11870	Turdus merula	Common Blackbird	Turdus merula		558602	Turdus merula	
11890	Turdus kessleri	White-backed Thrush	Turdus kessleri		558601	Turdus kessleri	
11980	Turdus pilaris	Fieldfare	Turdus pilaris		558604	Turdus pilaris	
12000	Turdus philomelos	Song Thrush	Turdus philomelos		558603	Turdus philomelos	
!12005	Turdus philomelos / iliacus	Song Thrush / Redwing			558599	Turdus	
12010	Turdus iliacus	Redwing	Turdus iliacus		558600	Turdus iliacus	
12020	Turdus viscivorus	Mistle Thrush	Turdus viscivorus		558606	Turdus viscivorus	
12069	Turdus sp.	unidentified thrush	Turdus sp.		558599	Turdus	previously 12009 (v5)
12200	Cettia cetti	Cetti's Warbler	Cettia cetti				
12360	Locustella naevia	Common Grasshopper  Warbler	Locustella naevia				
12430	Acrocephalus schoenobaenus	Sedge Warbler	Acrocephalus schoenobaenus		1037298	Acrocephalus schoenobaenus	
12500	Acrocephalus palustris	Marsh Warbler	Acrocephalus palustris		558526	Acrocephalus palustris	
12510	Acrocephalus scirpaceus	Eurasian Reed Warbler	Acrocephalus scirpaceus		558528	Acrocephalus scirpaceus	
12549	Acrocephalus sp.	unidentified (Acrocephalus) warbler	Acrocephalus sp.		205016	Acrocephalus	
12590	Hippolais icterina	Icterine Warbler	Hippolais icterina		1459896	Hippolais icterina	
