esas_code	scientific_name	english_name	euring_code	euring_scientific_name	aphia_id	aphia_scientific_name	remarks
2120	Clangula hyemalis	Long-tailed Duck	02120	Clangula hyemalis	137071	Clangula hyemalis	
2130	Melanitta nigra	Common Scoter	02130	Melanitta nigra	137073	Melanitta nigra	
2139	Melanitta sp.	unidentified scoter			137002	Melanitta	
2140	Melanitta perspicillata	Surf Scoter	02140	Melanitta perspicillata	159095	Melanitta perspicillata	
2150	Melanitta fusca	Velvet Scoter	02150	Melanitta fusca	137072	Melanitta fusca	
2160	Bucephala albeola	Bufflehead	02160	Bucephala albeola	159179	Bucephala albeola	
2180	Bucephala clangula	Common Goldeneye	02180	Bucephala clangula	159197	Bucephala clangula	
2200	Mergellus albellus	Smew	02200	Mergus albellus	232039	Mergellus albellus	
2210	Mergus serrator	Red-breasted Merganser	02210	Mergus serrator	159098	Mergus serrator	
2230	Mergus merganser	Common Merganser	02230	Mergus merganser	159097	Mergus merganser	
2239	Mergus sp.	unidentified merganser	02239	Mergus sp.	159096	Mergus	
2269		unidentified duck			136973	Anatidae	
2310	Pernis apivorus	European Honey Buzzard	02310	Pernis apivorus	558573	Pernis apivorus	
2350	Elanus caeruleus	Black-winged Kite	02350	Elanus caeruleus	570728	Accipitriformes	
2380	Milvus migrans	Black Kite	02380	Milvus migrans	212678	Milvus migrans	
2430	Haliaeetus albicilla	White-tailed Eagle	02430	Haliaeetus albicilla	232053	Haliaeetus albicilla	
2600	Circus aeruginosus	Western Marsh Harrier	02600	Circus aeruginosus	558541	Circus aeruginosus	
2610	Circus cyaneus	Hen Harrier	02610	Circus cyaneus	159372	Circus cyaneus	
2670	Accipiter gentilis	Northern Goshawk	02670	Accipiter gentilis	159104	Accipiter gentilis	
2690	Accipiter nisus	Eurasian Sparrowhawk	02690	Accipiter nisus	558525	Accipiter nisus	
2870	Buteo buteo	Common Buzzard	02870	Buteo buteo	558534	Buteo buteo	
2900	Buteo lagopus	Rough-legged Buzzard	02900	Buteo lagopus	159110	Buteo lagopus	
2980	Hieraaetus pennatus	Booted Eagle	02980	Hieraaetus pennatus	570728	Accipitriformes	
3009	Falconiformes sp.	unidentified raptor	03009	Falconiformes sp.	225849	Falconiformes	3219 (v5)
3010	Pandion haliaetus	Western Osprey	03010	Pandion haliaetus	159377	Pandion haliaetus	
3040	Falco tinnunculus	Common Kestrel	03040	Falco tinnunculus	345751	Falco tinnunculus	
3070	Falco vespertinus	Red-footed Falcon	03070	Falco vespertinus	558554	Falco vespertinus	
3090	Falco columbarius	Merlin	03090	Falco columbarius	159152	Falco columbarius	
3100	Falco subbuteo	Eurasian Hobby	03100	Falco subbuteo	558553	Falco subbuteo	
3110	Falco eleonorae	Eleonora's Falcon	03110	Falco eleonorae	212680	Falco eleonorae	
3180	Falco rusticolus	Gyrfalcon	03180	Falco rusticolus	159154	Falco rusticolus	
3200	Falco peregrinus	Pergrine Falcon	03200	Falco peregrinus	159153	Falco peregrinus	
3219	Falco sp.	unidentified falcon	03219	Falco sp.	159071	Falco	3049 (v5)
4070	Rallus aquaticus	Water Rail	04070	Rallus aquaticus	416695	Rallus aquaticus	
4080	Porzana porzana	Spotted Crake	04080	Porzana porzana	416693	Porzana porzana	
4240	Gallinula chloropus	Common Moorhen	04240	Gallinula chloropus	159009	Gallinula chloropus	
4290	Fulica atra	Eurasian Coot	04290	Fulica atra	232054	Fulica atra	
4330	Grus grus	Common Crane	04330	Grus grus	1037310	Grus grus	
4500	Haematopus ostralegus	Eurasian Oystercatcher	04500	Haematopus ostralegus	147436	Haematopus ostralegus	
4510	Haematopus palliatus	American Oystercatcher	04510	Haematopus palliatus	159128	Haematopus palliatus	
4560	Recurvirostra avosetta	Pied Avocet	04560	Recurvirostra avosetta	212721	Recurvirostra avosetta	
4690	Charadrius dubius	Little Ringed Plover	04690	Charadrius dubius	212617	Charadrius dubius	
4700	Charadrius hiaticula	Common Ringed Plover	04700	Charadrius hiaticula	212619	Charadrius hiaticula	
4710	Charadrius semipalmatus	Semipalmated plover	04710	Charadrius semipalmatus	159126	Charadrius semipalmatus	
4770	Charadrius alexandrinus	Kentish Plover	04770	Charadrius alexandrinus	212611	Charadrius alexandrinus	
4820	Charadrius morinellus	Eurasian Dotterel	04820	Charadrius morinellus	232043	Charadrius morinellus	
4839	Charadrius sp.	unidentified (Charadrius) plover	04839	Charadrius sp.	159124	Charadrius sp.	
4850	Pluvialis apricaria	European Golden Plover	04850	Pluvialis apricaria	159135	Pluvialis apricaria	
4860	Pluvialis squatarola	Grey Plover	04860	Pluvialis squatarola	159137	Pluvialis squatarola	
4930	Vanellus vanellus	Northern Lapwing	04930	Vanellus vanellus	159142	Vanellus vanellus	
4960	Calidris canutus	Red Knot	04960	Calidris canutus	147433	Calidris canutus	
4970	Calidris alba	Sanderling	04970	Calidris alba	159084	Calidris alba	
5010	Calidris minuta	Little Stint	05010	Calidris minuta	212600	Calidris minuta	
5090	Calidris ferruginea	Curlew Sandpiper	05090	Calidris ferruginea	159049	Calidris ferruginea	
5100	Calidris maritima	Purple Sandpiper	05100	Calidris maritima	159052	Calidris maritima	
5120	Calidris alpina	Dunlin	05120	Calidris alpina	159047	Calidris alpina	
5129	Calidris sp.	unidentified (Calidris) sandpiper	05129	Calidris sp.	147432	Calidris	5149 (v5)
5170	Philomachus pugnax	Ruff	05170	Philomachus pugnax	159046	Philomachus pugnax	
5180	Lymnocryptes minimus	Jack Snipe	05180	Lymnocryptes minimus	558755	Lymnocryptes minimus	
5190	Gallinago gallinago	Common Snipe	05190	Gallinago gallinago	158949	Gallinago gallinago	
5290	Scolopax rusticola	Eurasian Woodcock	05290	Scolopax rusticola	159028	Scolopax rusticola	
5320	Limosa limosa	Black-tailed Godwit	05320	Limosa limosa	159035	Limosa limosa	
5340	Limosa lapponica	Bar-tailed Godwit	05340	Limosa lapponica	159034	Limosa lapponica	
5380	Numenius phaeopus	Eurasian Whimbrel	05380	Numenius phaeopus	159040	Numenius phaeopus	
5400	Numenius tenuirostris	Slender-billed Curlew	05400	Numenius tenuirostris	366864	Numenius tenuirostris	
5410	Numenius arquata	Eurasian Curlew	05410	Numenius arquata	159037	Numenius arquata	
5450	Tringa erythropus	Spotted Redshank	05450	Tringa erythropus	159029	Tringa erythropus	
5460	Tringa totanus	Common Redshank	05460	Tringa totanus	158970	Tringa totanus	
5480	Tringa nebularia	Common Greenshank	05480	Tringa nebularia	158968	Tringa nebularia	
5530	Tringa ochropus	Green Sandpiper	05530	Tringa ochropus	212622	Tringa ochropus	
5540	Tringa glareola	Wood Sandpiper	05540	Tringa glareola	225916	Tringa glareola	
5560	Actitis hypoleucos	Common Sandpiper	05560	Actitis hypoleucos	212603	Actitis hypoleucos	
5610	Arenaria interpres	Ruddy Turnstone	05610	Arenaria interpres	147431	Arenaria interpres	
5640	Phalaropus lobatus	Red-necked Phalarope	05640	Phalaropus lobatus	137169	Phalaropus lobatus	
5645	Phalaropus sp.	unidentified phalarope			137049	Phalaropus	
5650	Phalaropus fulicarius	Red Phalarope	05650	Phalaropus fulicaria	137168	Phalaropus fulicarius	
5659		unidentified wader	05659	Limicolae	2682	Charadriiformes	
5660	Stercorarius pomarinus	Pomarine Skua	05660	Stercorarius pomarinus	137173	Stercorarius pomarinus	
5670	Stercorarius parasiticus	Arctic Skua	05670	Stercorarius parasiticus	137172	Stercorarius parasiticus	
5680	Stercorarius longicaudus	Long-tailed Skua	05680	Stercorarius longicaudus	137171	Stercorarius longicaudus	
5690	Stercorarius skua	Great Skua	05690	Stercorarius skua	137174	Stercorarius skua	
5709	Stercorarius sp.	unidentified skua	05709	Stercorarius sp.	137051	Stercorarius	5699 (v5)
5750	Larus melanocephalus	Mediterranean Gull	05750	Larus melanocephalus	137147	Larus melanocephalus	
5780	Hydrocoloeus minutus	Little Gull	05780	Larus minutus	567449	Hydrocoloeus minutus	
5790	Xema sabini	Sabine's Gull	05790	Larus sabini	137167	Xema sabini	
5820	Larus ridibundus	Black-headed Gull	05820	Larus ridibundus	137149	Larus ridibundus	
5880	Larus audouinii	Audouin's Gull	05880	Larus audouinii	137139	Larus audouinii	
5890	Larus delawarensis	Ring-billed Gull	05890	Larus delawarensis	148797	Larus delawarensis	
5900	Larus canus	Common Gull	05900	Larus canus	137141	Larus canus	
5902	Larus canus heinei	Common Gull (henei)	05902	Larus canus heinei	416722	Larus canus heinei	
5909		unidentified small gull			136988	Laridae	
5910	Larus fuscus	Lesser Black-backed Gull	05910	Larus fuscus	137142	Larus fuscus	
5911	Larus fuscus fuscus	Lesser Black-backed Gull (fuscus)	05911	Larus fuscus fuscus	148795	Larus fuscus fuscus	
5912	Larus fuscus graellsii	Lesser Black-backed Gull (graelsii)	05912	Larus fuscus graellsii	148796	Larus fuscus graellsii	
5919	Larus fuscus / argentatus	Lesser Black-backed / Herring Gull			137043	Larus	
5920	Larus argentatus	European Herring Gull	05920	Larus argentatus	137138	Larus argentatus	
5921	Larus argentatus argentatus	European Herring Gull (argentatus)	05921	Larus argentatus argentatus	232047	Larus argentatus argentatus	
5922	Larus fuscus heuglini	Siberian Gull	05922	Larus argentatus heuglini	567447	Larus fuscus heuglini	
5926	Larus michahellis	Yellow-legged Gull	05926	Larus argentatus michahellis	232052	Larus michahellis	5928 (v5)
5927	Larus cachinnans	Caspian Gull	05927	Larus argentatus cachinnans	137140	Larus cachinnans	
5980	Larus glaucoides	Iceland Gull	05980	Larus glaucoides	137144	Larus glaucoides	
5982	Larus glaucoides kumlieni	Iceland Gull (kumlieni)	05982	Larus glaucoides kumlieni	232051	Larus glaucoides kumlieni	
5985	Larus hyperboreus / glaucoides	Glaucous / Iceland Gull			137043	Larus	
5990	Larus hyperboreus	Glaucous Gull	05990	Larus hyperboreus	137145	Larus hyperboreus	
90080	Larus hyperboreus x argentatus	Glaucous x Herring Gull (hybrid)	90080	Larus argentatus x Larus hyperboreus	137043	Larus	5991 (v6)
6000	Larus marinus	Great Black-backed Gull	06000	Larus marinus	137146	Larus marinus	
6009	Larus sp.	unidentified Larus gull	06009	Larus sp.	137043	Larus	5929 (v5), 6005 (v5), 6008 (v5), 6009 (v5)
6010	Rhodostethia rosea	Ross's Gull	06010	Rhodostethia rosea	137155	Rhodostethia rosea	
6020	Rissa tridactyla	Black-legged Kittiwake	06020	Rissa tridactyla	137156	Rissa tridactyla	
6040	Pagophila eburnea	Ivory Gull	06040	Pagophila eburnea	137154	Pagophila eburnea	
6049		unidentified gull			136988	Laridae	
6050	Gelochelidon nilotica	Gull-billed Tern	06050	Gelochelidon nilotica	148798	Gelochelidon nilotica	
6060	Hydroprogne caspia	Caspian Tern	06060	Sterna caspia	567825	Hydroprogne caspia	
6070	Sterna maxima	Royal Tern	06070	Sterna maxima	137163	Sterna maxima	
6090	Sterna bengalensis	Lesser Crested Tern	06090	Sterna bengalensis	137158	Sterna bengalensis	
6110	Sterna sandvicensis	Sandwich Tern	06110	Sterna sandvicensis	137166	Sterna sandvicensis	
6111	Sterna acuflavida	Cabot's Tern	06111	Sterna acuflavida	1348517	Thalasseus sandvicensis acuflavidus	
6140	Sterna dougallii	Roseate Tern	06140	Sterna dougallii	137160	Sterna dougallii	
6150	Sterna hirundo	Common Tern	06150	Sterna hirundo	137162	Sterna hirundo	
6160	Sterna paradisaea	Arctic Tern	06160	Sterna paradisaea	137165	Sterna paradisaea	
6159	Sterna hirundo / paradisaea	Common / Arctic Tern	06159	Sterna hirundo/paradisaea	137047	Sterna	
6220	Onychoprion anaethetus	Bridled Tern	06220	Onychoprion anaethetus	567792	Onychoprion anaethetus	
6230	Onychoprion fuscatus	Sooty Tern	06230	Sterna fuscata	567827	Onychoprion fuscatus	
6240	Sternula albifrons	Little Tern	06240	Sterna albifrons	567480	Sternula albifrons	
6250	Sternula saundersi	Saunders's Tern	06250	Sterna saundersi	567839	Sternula saundersi	
6259	Sterna sp.	unidentified Sterna tern	06259	Sterna sp.	137047	Sterna	
6260	Chlidonias hybrida	Whiskered Tern	06260	Chlidonias hybridus	137135	Chlidonias hybrida	
6270	Chlidonias niger	Black Tern	06270	Chlidonias niger	137137	Chlidonias niger	
6280	Chlidonias leucopterus	White-winged Tern	06280	Chlidonias leucopterus	137136	Chlidonias leucopterus	
6285		unidentified tern			148764	Sternidae	6289 (v5), unaccepted taxon in WoRMS
6300	Anous stolidus	Brown Noddy	06300	Anous stolidus	212629	Anous stolidus	
6310	Gygis alba	White Tern	06310	Gygis alba	344045	Gygis alba	
6340	Uria aalge	Common Guillemot	06340	Uria aalge	137133	Uria aalge	
6345	Uria aalge / Alca torda	Common Guillemot / Razorbill			136987	Alcidae	
6350	Uria lomvia	Thick-billed Guillemot	06350	Uria lomvia	137134	Uria lomvia	
6360	Alca torda	Razorbill	06360	Alca torda	137128	Alca torda	
6380	Cepphus grylle	Black Guillemot	06380	Cepphus grylle	137130	Cepphus grylle	
6470	Alle alle	Little Auk	06470	Alle alle	137129	Alle alle	
6540	Fratercula arctica	Atlantic Puffin	06540	Fratercula arctica	137131	Fratercula arctica	
6545	Alle alle / Fratercula arctica	unidentified small auk			136987	Alcidae	
6549	Alcidae	unidentified auk			136987	Alcidae	
6650	Columba livia	Rock Dove	06650	Columba livia	1464527	Columba livia	
6657	Columba livia domestica	Feral Dove	06657	Columba livia domestica	1534784	Columba livia domestica	6655 (v5)
6680	Columba oenas	Stock Dove	06680	Columba oenas	558545	Columba oenas	
6700	Columba palumbus	Common Wood Pigeon	06700	Columba palumbus	558546	Columba palumbus	
6829	Columba sp.	unidentified (Columba) dove	06829	Columba sp.	558544	Columba	
6840	Streptopelia decaocto	Eurasian Collared Dove	06840	Streptopelia decaocto	558586	Streptopelia decaocto	
6870	Streptopelia turtur	European Turtle Dove	06870	Streptopelia turtur	1534881	Streptopelia turtur	
6999	Columba / Streptopelia sp.	unidentified dove / pigeon			196065	Columbidae	
6919	Streptopelia sp.		06919	Streptopelia sp.	205651	Streptopelia	
7240	Cuculus canorus	Common Cuckoo	07240	Cuculus canorus	212682	Cuculus canorus	
7610	Strix aluco	Tawny Owl	07610	Strix aluco	558588	Strix aluco	
7670	Asio otus	Long-eared Owl	07670	Asio otus	1476314	Asio otus	
7680	Asio flammeus	Short-eared Owl	07680	Asio flammeus	212685	Asio flammeus	
7780	Caprimulgus europaeus	European Nightjar	07780	Caprimulgus europaeus	1534762	Caprimulgus europaeus	
7940	Apus unicolor	Plain swift	07940	Apus unicolor	1534760	Apus unicolor	
7950	Apus apus	Common Swift	07950	Apus apus	212734	Apus apus	
7960	Apus pallidus	Pallid Swift	07960	Apus pallidus	196041	Apodiformes	
7980	Apus melba	Alpine Swift	07980	Apus melba	1534756	Apus melba	unaccepted taxon in WoRMS
